*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 144    19    18     4.4     0.0     4.4    0.00    3.36      0.8     3.4     3.7     0.7    3.68    2.31     0.0    1.5    0.0    0.03    0.16
 2015 145    20    19     4.8     0.0     4.8    0.00    3.45      0.8     4.3     4.0     0.8    3.78    2.37     0.0    1.7    0.0    0.03    0.18
 2015 146    21    20     5.0     0.0     5.0    0.00    3.48      0.8     5.0     4.2     0.8    3.81    2.39     0.0    1.7    0.0    0.03    0.20
 2015 147    22    21     5.5     0.0     5.5    0.00    3.39      1.1     5.4     4.6     0.9    3.70    2.33     0.0    1.6    0.2    0.05    0.22
 2015 148    23    22     6.5     0.0     6.5    0.00    3.49      1.1     6.6     5.5     1.0    3.81    2.39     0.0    1.6    0.0    0.05    0.24
 2015 149    24    23     7.0     0.0     7.0    0.00    3.32      1.3     7.1     5.9     1.1    3.63    2.28     0.0    1.6    0.2    0.26    0.26
 2015 150    25    24     7.8     0.0     7.8    0.00    3.36      1.3     8.3     6.6     1.2    3.67    2.31     0.0    1.6    0.0    0.69    0.28
 2015 151    26    25     9.2     0.0     9.2    0.00    3.48      1.3    10.1     7.8     1.4    3.80    2.39     0.0    1.6    0.0    0.73    0.31
 2015 152    27    26    10.2     0.0    10.2    0.00    3.34      1.7    10.9     8.5     1.6    3.68    2.28     0.0    1.6    0.3    0.75    0.32
 2015 153    28    27    11.8     0.0    11.8    0.00    3.34      1.7    12.6     9.7     2.1    3.69    2.30     0.0    1.6    0.0    0.76    0.35
 2015 154    29    28    13.9     0.0    13.9    0.00    3.43      1.7    15.1    11.3     2.6    3.80    2.41     0.0    1.6    0.0    0.76    0.38
 2015 155    30    29    15.0     0.0    15.0    0.00    3.44      1.7    17.2    12.1     2.9    3.82    2.43     0.0    1.6    0.0    0.76    0.41
 2015 156    31    30    15.7     0.0    15.7    0.00    3.39      2.0    18.2    12.6     3.1    3.78    2.39     0.0    1.6    0.2    0.80    0.44
 2015 157    32    31    17.8     0.0    17.8    0.00    3.38      2.0    20.8    14.1     3.7    3.80    2.39     0.0    1.6    0.0    0.80    0.49
 2015 158    33    32    19.9     0.0    19.9    0.00    3.40      2.0    23.5    15.5     4.4    3.86    2.40     0.0    1.6    0.0    0.93    0.53
 2015 159    34    33    21.6     0.0    21.6    0.00    3.39      2.1    26.0    16.5     5.1    3.91    2.37     0.0    1.6    0.0    1.37    0.58
 2015 160    35    34    22.1     0.0    22.1    0.00    3.29      2.5    27.3    16.6     5.5    3.86    2.28     0.0    1.6    0.4    2.03    0.62
 2015 161    36    35    23.9     0.0    23.9    0.00    3.25      2.5    29.9    17.7     6.3    3.85    2.27     0.0    1.6    0.0    2.03    0.68
 2015 162    37    36    26.0     0.0    26.0    0.00    3.24      2.6    32.9    18.8     7.2    3.89    2.26     0.0    1.6    0.0    2.19    0.74
 2015 163    38    37    27.4     0.0    27.4    0.00    3.19      3.2    34.2    19.3     8.1    3.92    2.20     0.0    1.6    0.5    2.49    0.80
 2015 164    39    38    29.4     0.0    29.4    0.00    3.19      3.2    37.6    20.2     9.1    3.97    2.22     0.0    1.6    0.0    2.63    0.87
