*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
!                                                                                                                                                                                                                                                    Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                                   0-10   10-20   20-30   30-40   40-50   50-60   60-70   70-80   80-90
@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD  PST1A  PST2A   KSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D    SNW0C   SNW1C
 2015 162    60    59    9.7      5  1.052    482    751   1094    160   1233   2874    992   110.3  0.381   1641    214  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.24  66.69   0.57      0   1641  218.3   0.72   0.45   20.1   0.50    0.53    0.43    0.32    0.15    0.05    0.00    0.00    0.00    0.00      445     134
 2015 163    61    60    9.7      5  1.024    471    754   1181    157   1224   2948    992   119.0  0.400   1723    214  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.14  68.50   0.58      0   1723  217.5   0.72   0.45   20.6   0.50    0.52    0.42    0.31    0.15    0.05    0.00    0.00    0.00    0.00      455     137
 2015 164    62    61    9.7      5  0.998    457    745   1264    153   1203   3017    992   127.4  0.419   1814    214  0.000  0.000  0.000  0.000  0.000  0.000  0.000    3.05  69.71   0.60      0   1814  218.2   0.72   0.45   20.9   0.50    0.51    0.41    0.30    0.15    0.05    0.00    0.00    0.00    0.00      465     140
 2015 165    63    62    9.7      5  0.973    442    731   1348    150   1174   3079    992   135.8  0.438   1905    214  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.98  70.75   0.62      0   1905  219.9   0.72   0.45   20.9   0.50    0.50    0.40    0.30    0.14    0.05    0.00    0.00    0.00    0.00      474     142
 2015 166    64    63    9.7      7  0.946    431    731   1436    147   1163   3152    992   144.7  0.456   1989    214  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.88  72.17   0.63      0   1989  219.4   0.72   0.45   20.9   0.50    0.49    0.40    0.29    0.14    0.05    0.00    0.00    0.00    0.00      484     145
 2015 167    65    64    9.7      7  0.701    322    708   1511    144   1030   3091    992   152.3  0.489   2061    214  0.000  0.000  0.072  0.000  0.000  0.000  0.000    2.70  73.31   0.67      0   2061  218.1   0.72   0.45   20.9   0.50    0.48    0.39    0.29    0.14    0.04    0.00    0.00    0.00    0.00      624     148
 2015 168    66    65    9.7      7  0.520    236    674   1583    141    910   3038    992   159.5  0.521   2128    214  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.56  74.36   0.70      0   2128  220.2   0.72   0.45   20.9   0.50    0.47    0.38    0.28    0.13    0.04    0.00    0.00    0.00    0.00      729     151
 2015 169    67    66    9.7      7  0.386    173    646   1641    139    819   3001    992   165.4  0.547   2182    214  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.44  75.20   0.73      0   2182  222.5   0.72   0.45   20.9   0.50    0.47    0.37    0.28    0.13    0.04    0.00    0.00    0.00    0.00      805     153
 2015 170    68    67    9.7      7  0.286    127    623   1685    136    751   2973    992   169.9  0.567   2223    214  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.34  75.83   0.75      0   2223  224.8   0.72   0.45   20.1   0.50    0.46    0.37    0.27    0.13    0.04    0.00    0.00    0.00    0.00      862     157
 2015 171    69    68    9.7      7  0.213     94    606   1716    134    700   2950    992   173.0  0.582   2250    214  0.000  0.000  0.000  0.000  0.000  0.000  0.000    2.25  76.27   0.76      0   2250  226.8   0.72   0.45   19.3   0.50    0.45    0.36    0.27    0.13    0.04    0.00    0.00    0.00    0.00      903     159
