*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2015 193    68    0.0   11.1   12.0   14.0   28.0   0.34   29.5   12.2   20.3   23.5   12.2   20.3   23.5   86.4  400.7   0.00   0.00
 2015 194    69    0.0   11.1   12.0   16.7   33.4   0.21   30.3   12.6   20.9   24.2   12.6   20.9   24.2   86.4  400.7   0.00   0.00
 2015 195    70    0.0   11.1   12.0   15.4   30.8   0.27   29.7   12.7   20.6   23.9   12.7   20.6   23.9   86.4  400.7   0.00   0.00
 2015 196    71    0.0   11.1   12.0   16.1   32.2   0.24   30.0   12.3   20.6   23.9   12.3   20.6   23.9   86.4  401.0   0.00   0.00
 2015 197    72    0.0   11.1   12.0   14.3   28.6   0.33   27.9   13.1   20.0   22.8   13.1   20.0   22.8   86.4  401.0   0.00   0.00
 2015 198    73    0.0   11.1   12.0   16.7   33.4   0.22   27.3   12.4   19.4   22.2   12.4   19.4   22.2   86.4  401.0   0.00   0.00
 2015 199    74    0.0   11.1   12.0   14.8   29.6   0.31   26.2   11.9   18.6   21.3   11.9   18.6   21.3   86.4  401.0   0.00   0.00

*DSSAT Cropping System Model Ver. 4.7.5.007 -  MAR 01, 2026 21:01:02
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2015 148     1    0.0   11.1   12.0   14.2   28.4   0.33   27.7   12.2   19.4   22.4   12.2   19.4   22.4   86.4  400.5   0.00   0.00
 2015 149     2    0.0   11.1   12.0   14.7   29.4   0.31   27.2   10.4   18.2   21.4   10.4   18.2   21.4   86.4  400.5   0.00   0.00
 2015 150     3    0.0   11.1   12.0   16.4   32.8   0.23   29.0   11.0   19.4   22.8   11.0   19.4   22.8   86.4  400.5   0.00   0.00
 2015 151     4    0.0   11.1   12.0   16.5   33.0   0.22   30.7   12.0   20.7   24.3   12.0   20.7   24.3   86.4  400.5   0.00   0.00
 2015 152     5    0.0   11.1   12.0   14.8   29.6   0.30   29.6   12.4   20.4   23.7   12.4   20.4   23.7   86.4  400.5   0.00   0.00
 2015 153     6    0.0   11.1   12.0   15.3   30.6   0.27   28.7   16.6   22.2   24.5   16.6   22.2   24.5   86.4  400.5   0.00   0.00
 2015 154     7    0.0   11.1   12.0   14.2   28.4   0.32   27.7   16.2   21.6   23.7   16.2   21.6   23.7   86.4  400.5   0.00   0.00
 2015 155     8    0.0   11.1   12.0   16.1   32.2   0.23   27.1   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.5   0.00   0.00
 2015 156     9    0.0   11.1   12.0   15.4   30.8   0.26   27.1   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.5   0.00   0.00
 2015 157    10    0.0   11.1   12.0   15.6   31.2   0.25   27.8   15.6   21.3   23.6   15.6   21.3   23.6   86.4  400.5   0.00   0.00
 2015 158    11    0.0   11.0   12.0   15.2   30.4   0.27   27.7   15.9   21.4   23.6   15.9   21.4   23.6   86.4  400.5   0.00   0.00
 2015 159    12    0.0   11.0   12.0   15.1   30.2   0.27   28.0   14.5   20.8   23.3   14.5   20.8   23.3   86.4  400.5   0.00   0.00
 2015 160    13    0.0   11.0   12.0   16.0   32.0   0.23   28.3   14.2   20.8   23.4   14.2   20.8   23.4   86.4  400.5   0.00   0.00
 2015 161    14    0.0   11.0   11.9   10.8   21.6   0.48   27.4   14.7   20.6   23.0   14.7   20.6   23.0   86.4  400.5   0.00   0.00
 2015 162    15    0.0   11.0   11.9   15.2   30.4   0.27   28.3   15.6   21.5   23.9   15.6   21.5   23.9   86.4  400.5   0.00   0.00
 2015 163    16    0.0   11.0   11.9   13.2   26.4   0.36   27.7   16.8   21.9   23.9   16.8   21.9   23.9   86.4  400.5   0.00   0.00
 2015 164    17    0.0   11.0   11.9   15.0   30.0   0.27   28.7   14.7   21.2   23.9   14.7   21.2   23.9   86.4  400.5   0.00   0.00
 2015 165    18    0.0   11.0   11.9   15.2   30.4   0.26   28.8   14.2   21.0   23.7   14.2   21.0   23.7   86.4  400.5   0.00   0.00
 2015 166    19    0.0   11.0   11.9   14.9   29.8   0.28   29.0   15.6   21.8   24.4   15.6   21.8   24.4   86.4  400.7   0.00   0.00
 2015 167    20    0.0   11.0   11.9   13.5   27.0   0.34   28.8   14.9   21.4   24.0   14.9   21.4   24.0   86.4  400.7   0.00   0.00
 2015 168    21    0.0   11.0   11.9   11.6   23.2   0.44   28.6   16.1   21.9   24.3   16.1   21.9   24.3   86.4  400.7   0.00   0.00
 2015 169    22    0.0   11.0   11.9   13.4   26.8   0.35   28.7   15.7   21.8   24.2   15.7   21.8   24.2   86.4  400.7   0.00   0.00
 2015 170    23    0.0   11.0   11.9   13.6   27.2   0.34   27.2   15.4   20.9   23.1   15.4   20.9   23.1   86.4  400.7   0.00   0.00
 2015 171    24    0.0   11.0   11.9   12.9   25.8   0.37   25.9   12.5   18.7   21.3   12.5   18.7   21.3   86.4  400.7   0.00   0.00
 2015 172    25    0.0   11.0   11.9   14.0   28.0   0.32   24.3   14.8   19.2   21.0   14.8   19.2   21.0   86.4  400.7   0.00   0.00
